"dcg_missions"
{
	// Tutorials
	"dcg_campaign_tutorial_title"	"Samouczek"
	"dcg_campaign_tutorial_desc"	"Naucz się grać w Artifact Foundry!"

	"DCG_tutorial01_title"		"Samouczek 1: bohaterowie"
	"DCG_tutorial01_summary"	"Oto, co obejmowała ta lekcja:<br>* Jednostki bohaterów<br>* Rozmieszczanie bohaterów<br>* Statystyki jednostek<br>*Faza bitwy<br> * Walka jednostki z wieżą"
	"DCG_tutorial01_next_lesson_description" "DALEJ: stwory"

	"DCG_tutorial02_title"		"Samouczek 2: stwory"
	"DCG_tutorial02_summary"	"Oto, co obejmowała ta lekcja:<br>* Stwory piechoty<br>*Walka jednostki z jednostką<br>* Blokowanie jako forma obrony wieży<br>*Fontanna"
	"DCG_tutorial02_next_lesson_description" "DALEJ: czary"

	"DCG_tutorial03_title"		"Samouczek 3: czary"
	"DCG_tutorial03_summary"	"Oto, co obejmowała ta lekcja:<br>* Ręka i dobieranie kart<br>* Czary<br>* Mana"
	"DCG_tutorial03_next_lesson_description" "DALEJ: zakupy"

	"DCG_tutorial04_title"		"Samouczek 4: zakupy"
	"DCG_tutorial04_summary"	"Oto, co obejmowała ta lekcja:<br>* Złoto i przychód<br>* Sklep<br>* Przedmioty i umieszczanie ich w wyposażeniu<br>* Mana zwiększająca się co rundę"
	"DCG_tutorial04_next_lesson_description" "DALEJ: kolory"

	"DCG_tutorial05_title"		"Samouczek 5: kolory"
	"DCG_tutorial05_summary"	"Oto, co obejmowała ta lekcja:<br>* Wielu bohaterów i rozmieszczanie<br>* Kolory kart<br>* Stwory, które można rozmieszczać"
	"DCG_tutorial05_next_lesson_description" "DALEJ: zaklęcia jednostek i aury"

	"DCG_tutorial06_title"		"Samouczek 6: zaklęcia jednostek i aury"
	"DCG_tutorial06_summary"	"Oto, co obejmowała ta lekcja:<br>* Zaklęcia jednostek<br>* Efekty ciągłe (aury obejmujące ścieżki)"
	"DCG_tutorial06_next_lesson_description" "DALEJ: ścieżki"

	"DCG_tutorial07_title"		"Samouczek 7: ścieżki"
	"DCG_tutorial07_summary"	"Oto, co obejmowała ta lekcja:<br>* 3 ścieżki<br>* Faza rozmieszczania<br>* Alternatywne warunki zwycięstwa<br>*Kolejność bitwy"
	"DCG_tutorial07_next_lesson_description" "DALEJ: aktywacje i zaklęcia wieży"

	"DCG_tutorial08_title"		"Samouczek 8: aktywacje i zaklęcia wieży"
	"DCG_tutorial08_summary"	"Oto, co obejmowała ta lekcja:<br>* Umiejętności aktywne<br>* Aktywacje<br>* Zaklęcia wieży"
	"DCG_tutorial08_next_lesson_description" "DALEJ: wypróbuj kampanię!"


	"DCG_tutorial01_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 1 TURZE"
	"DCG_tutorial02_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial03_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 1 TURZE"
	"DCG_tutorial04_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial05_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial06_InGame"		"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO"
	"DCG_tutorial07_InGame"		"CEL: ZNISZCZ 2 WROGIE WIEŻE LUB STAROŻYTNEGO"
	"DCG_tutorial08_InGame"		"CEL: ZNISZCZ 2 WROGIE WIEŻE LUB STAROŻYTNEGO"
	"DCG_tutorial09_InGame"		"CEL: ZNISZCZ 2 WROGIE WIEŻE LUB STAROŻYTNEGO"
	
	"DCG_tutorial01_welcome"		"Witamy w Artifact Foundry."
	"DCG_tutorial01_ancient"		"To jest Starożytny."
	"DCG_tutorial01_destroy"		"Twoim celem jest zniszczenie wrogiego Starożytnego..."
	"DCG_tutorial01_protect"		"...i ochrona swojego własnego."
	"DCG_tutorial01_hero"			"To jest bohater."
	"DCG_tutorial01_hero2"			"Bohaterowie są potężnymi jednostkami, które mogą rzucać czary i umieszczać przedmioty w swoim wyposażeniu."
	"DCG_tutorial01_deploy"			"Przeciągnij tego bohatera na planszę, by go rozmieścić."
	"DCG_tutorial01_attack"			"To wartość ataku bohatera."
	"DCG_tutorial01_health"			"To wartość zdrowia bohatera."
	"DCG_tutorial01_combat"			"Podczas fazy bitwy bohater stoczy walkę ze swoim celem. W tym wypadku jest nim wrogi Starożytny."
	"DCG_tutorial01_winning"		"Twój bohater zada 5 pkt. obrażeń, niszcząc Starożytnego i wygrywając mecz."
	"DCG_tutorial01_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 1 TURZE"
	"DCG_tutorial01_coin"			"Wciśnij przycisk spasowania, by zainicjować fazę bitwy."
	
	"DCG_tutorial02_deploy"			"Przeciągnij swojego bohatera na pole przed wrogim bohaterem, by go zablokować."
	"DCG_tutorial02_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial02_creep"			"To Stwór piechoty."
	"DCG_tutorial02_creep_deploy"	"Stwory piechoty będą automatycznie rozstawiać się na pierwszym pustym polu co każdą rundę."
	"DCG_tutorial02_block"			"Te jednostki będą walczyć ze sobą podczas fazy bitwy, więc żaden ze Starożytnych nie otrzyma obrażeń."
	"DCG_tutorial02_coin"			"Wciśnij przycisk spasowania, by zainicjować fazę bitwy."
	"DCG_tutorial02_fountain"		"Wrogi bohater został zabity i musi spędzić 1 rundę przy fontannie."
	"DCG_tutorial02_combat"			"Zainicjuj bitwę znowu, by zniszczyć wrogiego Starożytnego."
	
	"DCG_tutorial03_deploy"			"Rozmieść swojego bohatera..."
	"DCG_tutorial03_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial03_tie1"			"Obydwaj Starożytni zostaną zniszczeni podczas bitwy, ponieważ bohaterowie są niezablokowani."
	"DCG_tutorial03_tie2"			"Spowoduje to remis! Ale możesz jeszcze wygrać..."
	"DCG_tutorial03_hand"			"To twoja ręka. Znajdują się w niej karty, które możesz zagrać podczas fazy działań."
	"DCG_tutorial03_draw"			"Będziesz dobierać nowe karty co rundę."
	"DCG_tutorial03_spell"			"Ten czar zadaje bezpośrednie obrażenia wrogiej jednostce."
	"DCG_tutorial03_mana"			"Zagrywanie kart używa MANĘ."
	"DCG_tutorial03_cost"			"Rzucenie tego czaru kosztuje 2 pkt. many."
	"DCG_tutorial03_drag"			"Przeciągnij kartę na cel, by rzucić jej czar."
	"DCG_tutorial03_combat"			"Twój Starożytny nie otrzyma już żadnych obrażeń, a ty wygrasz kolejną bitwę!"
	
	"DCG_tutorial04_deploy"			"Rozmieść swojego bohatera..."
	"DCG_tutorial04_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial04_gold"			"Zabijanie wrogów przyznaje ZŁOTO."
	"DCG_tutorial04_gold_creep"		"1 sztuka złota za stwory"
	"DCG_tutorial04_gold_hero"		"5 sztuk złota za bohaterów"
	"DCG_tutorial04_gold_5"			"Zdobyto 5 sztuk złota!"
	"DCG_tutorial04_shop1"			"Oto sklep. Otrzymasz do niego dostęp po każdej rundzie."
	"DCG_tutorial04_shop2"			"Tutaj możesz kupować przedmioty, by umieścić je w wyposażeniu bohaterów."
	"DCG_tutorial04_buy"			"Jeżeli wrogi bohater został pokonany w poprzedniej rundzie, to masz na tyle złota, by kupić Sztylet."
	"DCG_tutorial04_equip"			"Przeciągnij Sztylet na swojego bohatera, by umieścić go w jego wyposażenu."
	"DCG_tutorial04_mana"			"Pamiętaj, że twoja maksymalna mana jest zwiększana o 1 pkt po każdej rundzie."
	
	"DCG_tutorial05_deploy"			"Rozmieść swojego bohatera..."
	"DCG_tutorial05_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO W 2 TURACH"
	"DCG_tutorial05_colors"			"Bohaterowie i karty niebędące przedmiotami mają jeden z 4 kolorów. Jeżeli nie ma bohatera o tym samym kolorze co karta, to nie można jej zagrać!"
	"DCG_tutorial05_pass"			"Musisz spasować w tej rundzie."
	"DCG_tutorial05_green"			"Skoro masz teraz na planszy zielonego bohatera, możesz zagrywać swoje zielone karty."
	"DCG_tutorial05_creep"			"Ta karta nie jest zaklęciem, lecz stworem, którego się rozmieszcza."
	"DCG_tutorial05_drag"			"Przeciągnij kartę na planszę, tak jak się to robi bohaterem."
	
	"DCG_tutorial06_deploy"			"Rozmieść swojego bohatera..."
	"DCG_tutorial06_goal"			"CEL: ZNISZCZ WROGIEGO STAROŻYTNEGO"
	"DCG_tutorial06_enchantments"	"Zaklęcia jednostek to trwałe efekty umieszczane na bohaterach lub stworach."
	"DCG_tutorial06_add"			"To zaklęcie jest aurą, która daje sojusznikom na ścieżce +2 pkt. ataku."
	"DCG_tutorial06_drag"			"Przeciągnij swoje zaklęcie na Kata, by je zastosować."
	
	"DCG_tutorial07_lane"			"Póki co twoje pole walki obejmowało tylko jedną ścieżkę..."
	"DCG_tutorial07_three"			"...ale opowieść o wiecznej bitwie między Mrocznym a Świetlistym wymaga trzech ścieżek."
	"DCG_tutorial07_more"			"Więcej ścieżek oznacza więcej bohaterów do rozmieszczenia."
	"DCG_tutorial07_center"			"Bohaterowie na środkowej ścieżce są rozmieszczani jednocześnie – żaden z graczy nie zna pozycji swojego przeciwnika."
	"DCG_tutorial07_drag"			"Wybierz dowolnego bohatera i przeciągnij go na jedno z podświetlonych pól."
	"DCG_tutorial07_second"			"Drugi bohater jest rozmieszczany po stronie PRZECIWNEJ."
	"DCG_tutorial07_third"			"Trzeci bohater jest rozmieszczany wtedy, gdy masz już pełną wiedzę o pozycjach przeciwnika na ścieżce."
	"DCG_tutorial07_goal"			"Zwróć uwagę na to, że zmienił się cel: ZNISZCZ DWIE WIEŻE LUB STAROŻYTNEGO."
	"DCG_tutorial07_ancient"		"Pierwsza zniszczona wieża odsłoni wrogiego STAROŻYTNEGO."
	"DCG_tutorial07_tower"			"Po tym zwycięstwo będzie możliwe albo poprzez zniszczenie kolejnej WIEŻY..."
	"DCG_tutorial07_destroy"		"...albo zniszczenie nowo odsłoniętego STAROŻYTNEGO."
	"DCG_tutorial07_order"			"Kolejność toczonych bitew, które mają miejsce na ścieżkach, zmienia się co rundę."
	"DCG_tutorial07_start"			"Więc następna faza bitwy rozpocznie się na 3 ścieżce..."
	"DCG_tutorial07_end"			"...i zakończy na 1."

	"DCG_tutorial08_goal"			"CEL: ZNISZCZ 2 WROGIE WIEŻE LUB STAROŻYTNEGO"
	"DCG_tutorial08_ability"		"Twój bohater od teraz ma umiejętność aktywną."
	"DCG_tutorial08_cooldown"		"Użycie umiejętności aktywnych kosztuje tylko 1 pkt many, ale zazwyczaj mają one czas oczekiwania do następnego użycia."
	"DCG_tutorial08_click"			"Kliknij swojego bohatera, by sprawdzić i użyć tej umiejętności."
