"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"W wielu sprawach nie zgadzam się z Pierpontem, ale był dość mądry, by przewidzieć konsekwencje drażnienia Bezlicej Pustki. Nie jestem wielką zwolenniczką układu z Claszureme, chronomancja była bardzo zabawna. Ale wiesz, co jest równie zabawne? Uchronienie swojej osi czasu od unicestwienia."
"DCG_VO_vanessa_whispers_of_madness"	"Pierpont stale ostrzega mnie, by „nie igrać z rzeczami, których się nie rozumie”. Najczęściej dlatego, że jest bigoteryjnym oportunistą... Niestety czasem ma rację. Przynajmniej w pewnym stopniu, bo przecież nigdy nie umarłam do końca. I wiesz, tak sobie teraz pomyślałam, że właściwie to zawsze jest bigoteryjnym oportunistą."
"DCG_VO_vanessa_relentless_zombie"	"Umarli wstają z grobów w Różoliściu, Knogh... Ktoś złożył Przysięgę."
"DCG_VO_vanessa_howling_mind"	"To nie dzieje się często, ale co pewien czas czarodziej dostaje zgodę, by opuścić majątek Tylera... mimo że wyjście stamtąd nieodwracalnie każdego z nich zmienia.
"
"DCG_VO_vanessa_aghanims_sanctum"	"Aghanim jest największym czarodziejem wszech czasów. Bezsprzecznie. Nikt nie może się z nim równać. Więc od dnia, gdy zniknął, nigdy nie zadawaliśmy sobie pytania „jak”, tylko dziwiliśmy się „dlaczego”. Niektórzy mówią, że bał się o swoje życie i się ukrył, ale ja ani przez chwilę w to nie wierzyłam. Według mnie Aghanim nad czymś pracuje. Nad czymś ważnym. Czymś, co zmieni świat."
"DCG_VO_vanessa_arcane_assault"	"Rubick twierdzi, że jest synem Aghanima. Nie sądzę, by tak było, ale na pewno nie powiem tego Rubickowi w oczy."
"DCG_VO_vanessa_glyph_of_confusion"	"Otaczający nas świat jest paskudnym miejscem, więc gdy niedający się pominąć procent jego mieszkańców pragnie twojej śmierci, uczysz się podejmować pewne środki ostrożności."
"DCG_VO_vanessa_the_tyler_estate"	"Przeważająca część świata magii uznaje władzę Szafirowego Konklawe. Ale w Zapłakanej Róży rządzimy się własnymi prawami i odpowiadamy tylko przed Kworum, tutejszym senatem składającym się z 31 potężnych czarodziejów. Nie mamy tu wielu przepisów, ale tych, które obowiązują, przestrzegamy bardzo rygorystycznie. Ponieważ za ich złamanie grozi zesłanie do majątku Tylera."
"DCG_VO_ogre_bruiser_intro"	"Walka to coś jak roztrzaskanie komuś czaszki pniem drzewa. To analogia!"
"DCG_VO_ogre_brusier_fighting_instinct"	"Życie to kolejne gromady ludzi, którzy próbują cię zabić. Zabij ich najpierw."
"DCG_VO_ogre_bruiser_equip_generic_weapon_01"	"Broń."
"DCG_VO_ogre_bruiser_equip_generic_weapon_02"	"Lepsze niż pięść."
"DCG_VO_ogre_bruiser_equip_generic_weapon_03"	"Nie kamień, ale może być."
"DCG_VO_ogre_bruiser_equip_generic_weapon_04"	"Chyba będę tym machać jak drzewem."
"DCG_VO_ogre_bruiser_equip_generic_weapon_05"	"<i>basowy chichot</i>"
"DCG_VO_ogre_bruiser_equip_generic_armor_01"	"Nie do wiary, pasuje na mnie..."
"DCG_VO_ogre_bruiser_equip_generic_armor_02"	"Nikt mnie nie zabije."
"DCG_VO_ogre_bruiser_equip_generic_armor_03"	"Dzięki temu krew nie wycieknie."
"DCG_VO_ogre_bruiser_equip_generic_armor_04"	"Nie lubię, gdy mnie dźgają."
"DCG_VO_ogre_bruiser_equip_generic_armor_05"	"Dłużej pożyję."
"DCG_VO_ogre_bruiser_equip_generic_accessory_01"	"Przyda się."
"DCG_VO_ogre_bruiser_equip_generic_accessory_02"	"Dzięki."
"DCG_VO_ogre_bruiser_equip_generic_accessory_03"	"Wyglądam elegancko."
"DCG_VO_ogre_bruiser_equip_generic_accessory_04"	"Błyszczy."
"DCG_VO_ogre_bruiser_equip_generic_accessory_05"	"Ładne."
"DCG_VO_ogre_bruiser_kill_rival_01"	"Zmiażdżę cię!"
"DCG_VO_ogre_bruiser_kill_rival_02"	"Giń!"
"DCG_VO_ogre_bruiser_kill_rival_03"	"Zatłukę cię!"
"DCG_VO_ogre_bruiser_kill_rival_04"	"A masz!"
"DCG_VO_ogre_bruiser_kill_rival_05"	"Hahahahaha!"
"DCG_VO_ogre_bruiser_kill_rival_06"	"Fajnie!"
"DCG_VO_ogre_bruiser_kill_rival_07"	"Zatłukłem."
"DCG_VO_ogre_bruiser_kill_rival_08"	"Szybko umierasz."
"DCG_VO_ogre_bruiser_kill_rival_09"	"Już nie żyjesz?"
"DCG_VO_ogre_bruiser_kill_rival_10"	"Bu!"
"DCG_VO_ogre_bruiser_use_include_01"	"Gotowy, by zabijać."
