"lang"
{
	"Language"		"turkish"
	"Tokens"
	{
		"CardName_10004"		"Meepo"
		"CardText_10004"		"[abilityname[Puf]][activatedability[[color:ability[Etkin 2 &#9632;, 1 Mana:]]  {s:thisCardName}'yu dost {s:thisCardName}'lardan birinin kulvarındaki boş bir yuvaya taşı. Yerinde de kalabilir. Yeni [g:600[düşman komşulara]] 2 hasar ver.<br><br>  [color:quick[[g:624[Kulvar Arası]]]] <br>  [color:quick[[g:604[&#9634; Hızlı Kullan]]]]]]<BR/>\n<BR/>\n[abilityname[Hepimiz Birimiz İçinl]]Bu {s:thisCardName} ölürse tüm {s:thisCardName}'ların ölür."
		"CardName_10429"		"Puf"
		"CardText_10429"		"{s:parentCardName}'yu dost {s:parentCardName}'lardan birinin kulvarlarındaki boş bir yuvaya taşı. Yerinde de kalabilir. Yeni [g:600[düşman komşulara]] 2 hasar ver.<br><br>  [color:quick[[g:624[Kulvar Arası]]]] <br>  [color:quick[[g:604[&#9634; Hızlı Kullan]]]]"
		"CardName_10490"		"Hepimiz Birimiz İçin"
		"CardText_10490"		"Bu {s:parentCardName} ölürse, tüm {s:parentCardName}'ların ölür."
		"CardEffect_10490_0"		"If this {s:parentCardName} dies, your {s:parentCardName}s in every lane die."
		"CardName_10005"		"Birimiz Hepimiz İçin"
		"CardText_10005"		"Bir [[Meepo]] [g:409[çağır]]."
		"CardName_10006"		"Luna"
		"CardText_10006"		"[abilityname[Parlak Işın]][color:play_effect[[g:616[Raunt Başında]]:]]  Rastgele bir düşmana 1 [g:509[delici]] hasar ver ve [[Tutulma]] kartlarına bir şarj ekle."
		"CardName_10489"		"Parlak Işın"
		"CardText_10489"		"[color:play_effect[[g:616[Raunt Başında]]:]]  Rastgele bir düşmana 1 [g:509[delici]] hasar ver ve [[Tutulma]] kartlarına bir şarj ekle."
		"CardEffect_10489_0"		"[color:play_effect[[g:616[Raunt Başında]]:]]  Rastgele bir düşmana 1 [g:509[delici]] hasar ver ve [[Tutulma]] kartlarına bir şarj ekle."
		"CardName_10007"		"Tutulma"
		"CardText_10007"		"Her şarj için bir kere tekrarla: [g:609[&#9633;]] Rastgele bir düşmana 2 [g:509[delici]] hasar ver."
		"CardName_10010"		"Winter Wyvern"
		"CardText_10010"		"[abilityname[Kutup Yanığı]][activatedability[[color:ability[Etkin 2 &#9632;, 1 Mana:]] +3[color:attribute_glyph[&#9635;]]. En fazla 3 yuva hareket edebilir. [g:627[Geçilen]] her düşmana +2[color:attribute_glyph[]] [g:620[çürüme]] [g:417[ver]].<br><br>  [color:quick[[g:624[Kulvar Arası]]]]]]"
		"CardName_10430"		"Kutup Yanığı"
		"CardText_10430"		"+3[color:attribute_glyph[&#9635;]]. En fazla 3 yuva hareket edebilir. [g:627[Geçilen]] her düşmana +2[color:attribute_glyph[]] [g:620[çürüme]] [g:417[ver]].<br><br>  [color:quick[[g:624[Kulvar Arası]]]]"
		"CardModification_10430_0"		"+3[color:attribute_glyph[&#9635;]]. En fazla 3 yuva hareket edebilir. [g:627[Geçilen]] her düşmana +2[color:attribute_glyph[]] [g:620[çürüme]] [g:417[ver]].<br><br>"
		"CardName_10011"		"Kışın Laneti"
		"CardText_10011"		"Bir düşmanı [g:405[sersemlet]]. Dost [g:601[komşuları]] tarafından saldırıya uğrar."
		"CardName_10014"		"Lycan"
		"CardText_10014"		"[abilityname[Vahşi Dürtü]][color:play_effect[[g:615[Aura]]:]]  Bu kulvarda yer alan ve 2 yuva mesafede olan [g:1[yaratıkların]] +2[color:attribute_glyph[&#9635;]] sahibi olur.<BR/>\n<BR/>\n[abilityname[Sürü Liderliği]]Bu kulvardaki [g:1[yaratıklarının]] toplam [g:510[saldırı]] miktarı 15'ten fazlaysa {s:thisCardName}, +3[color:attribute_glyph[&#9635;]] sahibi olurken aynı kulvardan ondan 2 yuva mesafede olan [g:1[yaratıkların]] +1[color:attribute_glyph[&#9635;]] sahibi olur."
		"CardName_10494"		"Vahşi Dürtü"
		"CardText_10494"		"[color:play_effect[[g:615[Aura]]:]]  Bu kulvarda yer alan ve 2 yuva mesafede olan [g:1[yaratıkların]] +2[color:attribute_glyph[&#9635;]] sahibi olur."
		"CardEffect_10494_0"		"[color:play_effect[[g:615[Aura]]:]]  Bu kulvarda yer alan ve 2 yuva mesafede olan [g:1[yaratıkların]] +2[color:attribute_glyph[&#9635;]] sahibi olur."
		"CardName_11069"		"Sürü Liderliği"
		"CardText_11069"		"<br><br>Bu kulvardaki [g:1[yaratıklarının]] toplam [g:510[saldırı]] miktarı 15'ten fazlaysa {s:parentCardName}, +3[color:attribute_glyph[&#9635;]] sahibi olurken aynı kulvardan ondan 2 yuva mesafede olan [g:1[yaratıkların]] +1[color:attribute_glyph[&#9635;]] sahibi olur."
		"CardEffect_11069_0"		"If allied [g:1[creeps]] in this lane have 15 or more [g:510[Attack]], {s:parentCardName} always looks like a [[Werewolf]]."
		"CardName_11070"		"Kurt Adam"
		"CardText_11070"		""
		"CardName_10017"		"Chen"
		"CardText_10017"		"[abilityname[Kutsal İkna]][activatedability[[color:ability[Etkin 3 &#9632;, 1 Mana:]] Düşmandan bir [g:1[yaratık]] çal. Kalıcı olarak +2[color:attribute_glyph[&#9635;]] ve +2[color:attribute_glyph[&#9637;]] [g:417[ver]].]]]<BR/>\n<BR/>\n[abilityname[İlahi İhsan]]<br><br>[color:play_effect[[g:617[Dövüş Sonrası]]:]] Bütün dost [g:1[yaratıklar]] 2 iyileşir."
		"CardName_10432"		"Kutsal İkna"
		"CardText_10432"		"Düşmandan bir [g:1[yaratık]] çal. Kalıcı olarak +2[color:attribute_glyph[&#9635;]] ve +2[color:attribute_glyph[&#9637;]] [g:417[ver]].]]"
		"CardModification_10432_0"		"Düşmandan bir [g:1[yaratık]] çal. Kalıcı olarak +2[color:attribute_glyph[&#9635;]] ve +2[color:attribute_glyph[&#9637;]] [g:417[ver]].]]"
		"CardName_11072"		"İlahi İhsan"
		"CardText_11072"		"<br><br>[color:play_effect[[g:617[Dövüş Sonrası]]:]] Bütün dost [g:1[yaratıklar]] 2 iyileşir."
		"CardEffect_11072_0"		"<br><br>[color:play_effect[[g:617[After Combat]]:]]  Heal all allied [g:1[creeps]] 2."
		"CardName_10018"		"Bloodseeker"
		"CardText_10018"		"[abilityname[Susamışlık]]{s:thisCardName}, tüm kulvarlar arasında en fazla [g:511[sağlık]] eksilmesine sahip olan düşman [g:0[kahramanın]] eksilen sağlık miktarı kadar +[[color:attribute_glyph[&#9635;]] kazanır. En fazla eksik sağlığa sahip [g:0[kahraman]] ölse bile bu bonus azalmaz. <br><br>  [color:quick[[g:624[Kulvar Arası]]]]"
		"CardName_10496"		"Susamışlık"
		"CardText_10496"		"{s:parentCardName}, tüm kulvarlar arasında en fazla [g:511[sağlık]] eksilmesine sahip olan düşman [g:0[kahramanın]] eksilen sağlık miktarı kadar +[[color:attribute_glyph[&#9635;]] kazanır. En fazla eksik sağlığa sahip [g:0[kahraman]] ölse bile bu bonus azalmaz. <br><br>  [color:quick[[g:624[Kulvar Arası]]]]"
		"CardEffect_10496_0"		"{s:parentCardName} has +[color:attribute_glyph[&#9635;]] equal to the highest missing [g:511[Health]] from an enemy [g:0[hero]] in any lane. Does not decrease if the [g:0[hero]] dies.<br><br>"
		"CardName_10020"		"Axe"
		"CardText_10020"		"[abilityname[Vahşi Savaşçının Çağrısı][activatedability[[color:ability[Etkin 2 &#9632;, 1 Mana:]] Tüm [g:600[komşu düşmanlarla]] [g:400[dövüş]].]]"
		"CardName_10816"		"Vahşi Savaşçının Çağrısı"
		"CardText_10816"		"Tüm [g:600[komşu düşmanlarla]] [g:400[dövüş]]."
		"CardName_10021"		"Centaur Warrunner"
		"CardText_10021"		"[abilityname[İzdiham]][activatedability[[color:ability[Etkin 3 &#9632;, 1 Mana:]] {s:thisCardName} ve dostlarına [g:518[ezme]] [g:417[ver]].]]<BR/>\n<BR/>\n[abilityname[Büyük Metanet]]{s:thisCardName} negatif [g:510[saldırı]], [g:504[zırh]] ve [g:511[sağlık]] etkilerini yok sayar."
		"CardName_10497"		"İzdiham"
		"CardText_10497"		"{s:parentCardName} ve dostlarına [g:518[ezme]] [g:417[ver]]."
		"CardModification_10497_0"		"{s:parentCardName} ve dostlarına [g:518[ezme]] [g:417[ver]]."
		"CardName_11063"		"Büyük Metanet"
		"CardText_11063"		"{s:parentCardName} negatif [g:510[saldırı]], [g:504[zırh]] ve [g:511[sağlık]] etkilerini yok sayar."
		"CardEffect_11063_0"		"{s:parentCardName} ignores negative [g:510[Attack]], [g:504[Armor]], and [g:511[Health]] effects."
		"CardName_10022"		"Timbersaw"
		"CardText_10022"		"[abilityname[Kereste Zinciri]][activatedability[[color:ability[Etkin 3 &#9632;, 1 Mana:]] En fazla 5 yuva hareket edebilir. [g:627[Geçilen]] her düşmana 1 hasar ver.<br><br>  [color:quick[[g:624[Kulvar Arası]]]]]]"
		"CardName_10498"		"Kereste Zinciri"
		"CardText_10498"		"En fazla 5 yuva hareket edebilir. [g:627[Geçilen]] her düşmana 1 hasar ver.<br><br>  [color:quick[[g:624[Kulvar Arası]]]]"
		"CardName_10024"		"Tidehunter"
		"CardText_10024"		"[abilityname[Tahribat]][activatedability[[color:ability[Etkin 4 &#9632;, 1 Mana:]] Bu kulvardaki 2 yuvalık mesafede olan düşmanları [g:405[sersemlet]].]]<BR/>\n<BR/>\n[abilityname[Çapa Darbesi]][g:5[Eşya]] dışı bir kart oynadığında {s:thisCardName}, [g:600[komşu düşmanlarına]] 1 [g:610[dövüş hasarı]] verirken ayrıca onlara bu rauntluk -1[color:attribute_glyph[&#9635;]] verir. Düşman birim yoksa düşman [g:2[kulesine]] [g:510[saldır]] ve 1 [g:610[dövüş hasarı]] ver.<br><br>1 rauntluk dolum süresi vardır."
		"CardName_10434"		"Tahribat"
		"CardText_10434"		"Bu kulvarda 2 yuva mesafedeki düşmanları [g:405[sersemlet]]."
		"CardName_11065"		"Çapa Darbesi"
		"CardText_11065"		"[g:5[Eşya]] dışı bir kart oynadığında {s:parentCardName}, [g:600[komşu düşmanlarına]] 1 [g:610[dövüş hasarı]] verirken ayrıca onlara bu rauntluk -1[color:attribute_glyph[&#9635;]] verir. Düşman birim yoksa düşman [g:2[kulesine]] [g:510[saldır]] ve 1 [g:610[dövüş hasarı]] ver.<br><br>1 rauntluk dolum süresi vardır."
		"CardEffect_11065_0"		""
		"CardModification_11065_0"		""
		"CardName_10025"		"Tinker"
		"CardText_10025"		"[abilityname[Lazer]][activatedability[[color:ability[Etkin 3 &#9632;, 1 Mana:]] Bir [g:607[birime]] 2 hasar ver ve onu [g:404[etkisizleştir]].]]"
		"CardName_10435"		"Lazer"
		"CardText_10435"		"Bir [g:608[birime]] 2 hasar ver ve onu [g:404[etkisizleştir]]."
		"CardName_10026"		"Rix"
		"CardText_10026"		"[abilityname[Amansız İsyancı]][g:611[hızlı konuşlanma]]<br><br>  [color:death_effect[[g:603[Ölüm Etkisi]]:]] Kalıcı olarak +1[color:attribute_glyph[&#9635;]] [g:417[kazan]]."
		"CardName_10500"		"Amansız İsyancı"
		"CardText_10500"		"[g:611[Hızlı Konuşlanma]]<br><br>  [color:death_effect[[g:603[Ölüm Etkisi]]:]] Kalıcı olarak +1[color:attribute_glyph[&#9635;]] [g:417[kazan]]."
		"CardEffect_10500_0"		"[color:death_effect[[g:603[Death Effect]]:]]  Add 1 charges to {s:thisCardName}."
		"CardName_10029"		"Beastmaster"
		"CardText_10029"		"[abilityname[Yabanın Çağrısı]][activatedability[[color:ability[Etkin 2 &#9632;, 1 Mana:]] Bir [[Sadık Dost]] [g:409[çağır]].]]<BR/>\n<BR/>\n[abilityname[İçindeki Canavar]]{s:thisCardName} komşu [[Sadık Dost]] başına +2[color:attribute_glyph[&#9635;]] alır."
		"CardName_10437"		"Yabanın Çağrısı"
		"CardText_10437"		"Bir [[Sadık Dost]] [g:409[çağır]]."
		"CardName_11051"		"İçindeki Canavar"
		"CardText_11051"		"{s:parentCardName}, her komşu [[Sadık Dost]] başına +2[color:attribute_glyph[&#9635;]] sahibi olur."
		"CardEffect_11051_0"		"{s:parentCardName} has +2[color:attribute_glyph[&#9635;]] per neighboring [[Loyal Beast]]."
		"CardName_10030"		"Bristleback"
		"CardText_10030"		"[abilityname[Diken Sırt]] {s:thisCardName} [g:610[dövüş hasarı]] dışında bir hasar aldığında, o hasarı 1'e indir, ardından [[Diken Saçma]]'yı etkinleştir.<br><br>[abilityname[Diken Saçma]][activatedability[[color:ability[Etkin 3 &#9632;, 1 Mana:]] [g:600[Komşu düşmanlara]] 1 hasar ver.]]"
		"CardName_10502"		"Bristleback"
		"CardText_10502"		"{s:parentCardName} [g:610[dövüş hasarı]] dışında bir hasar aldığında, o hasarı 1'e indir, ardından [[Diken Saçma]]'yı etkinleştir."
		"CardEffect_10502_0"		"When an anything in any lane deals non-reflected non-[g:610[battle damage]] to {s:parentCardName}, deal 1 reflected damage to {s:parentCardName}'s [g:600[adjacent enemies]]."
		"CardName_10032"		"Drow Ranger"
